no_municipio_prova,co_municipio_prova,sg_uf_prova,nome_uf_prova,regiao_nome_prova,nota_cn_ciencias_da_natureza,nota_lc_linguagens_e_codigos,nota_mt_matematica,nota_redacao,tp_status_redacao
Cuiabá,5103403,MT,Mato Grosso         ,Centro-Oeste,522.7,537.5,430.3,500.0,Sem problemas                                     
Navegantes,4211306,SC,Santa Catarina      ,Sul         ,,,,,Missing - Sem informação                          
Betim,3106705,MG,Minas Gerais        ,Sudeste     ,,,,,Missing - Sem informação                          
Camaçari,2905701,BA,Bahia               ,Nordeste    ,496.4,541.1,537.9,920.0,Sem problemas                                     
Ituiutaba,3134202,MG,Minas Gerais        ,Sudeste     ,395.0,507.7,527.5,920.0,Sem problemas                                     
Barretos,3505500,SP,São Paulo           ,Sudeste     ,,,,,Missing - Sem informação                          
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,652.9,640.8,784.2,900.0,Sem problemas                                     
Vespasiano,3171204,MG,Minas Gerais        ,Sudeste     ,456.8,575.3,637.7,620.0,Sem problemas                                     
Magé,3302502,RJ,Rio de Janeiro      ,Sudeste     ,560.8,527.4,661.7,760.0,Sem problemas                                     
Urbano Santos,2112605,MA,Maranhão            ,Nordeste    ,452.1,437.0,421.0,540.0,Sem problemas                                     
Petrolina,2611101,PE,Pernambuco          ,Nordeste    ,520.9,501.8,512.8,480.0,Sem problemas                                     
Acopiara,2300309,CE,Ceará               ,Nordeste    ,458.7,503.3,665.6,900.0,Sem problemas                                     
Nova Friburgo,3303401,RJ,Rio de Janeiro      ,Sudeste     ,507.1,582.4,732.7,940.0,Sem problemas                                     
Camboriú,4203204,SC,Santa Catarina      ,Sul         ,533.8,591.4,527.5,780.0,Sem problemas                                     
São Bento,2110500,MA,Maranhão            ,Nordeste    ,469.8,523.6,417.4,400.0,Sem problemas                                     
Santa Helena,2109809,MA,Maranhão            ,Nordeste    ,586.2,522.5,600.5,800.0,Sem problemas                                     
Viçosa,2709400,AL,Alagoas             ,Nordeste    ,360.9,483.0,468.1,640.0,Sem problemas                                     
Presidente Prudente,3541406,SP,São Paulo           ,Sudeste     ,461.7,550.5,423.5,0.0,Fuga ao tema                                      
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,653.6,610.2,775.9,840.0,Sem problemas                                     
Itaporanga d'Ajuda,2803203,SE,Sergipe             ,Nordeste    ,,,,,Missing - Sem informação                          
Recife,2611606,PE,Pernambuco          ,Nordeste    ,456.4,530.7,455.8,420.0,Sem problemas                                     
Cascavel,2303501,CE,Ceará               ,Nordeste    ,425.7,449.6,482.5,560.0,Sem problemas                                     
Curitiba,4106902,PR,Paraná              ,Sul         ,499.4,514.9,520.9,360.0,Sem problemas                                     
Carazinho,4304705,RS,Rio Grande do Sul   ,Sul         ,,,,,Missing - Sem informação                          
Lorena,3527207,SP,São Paulo           ,Sudeste     ,,,,,Missing - Sem informação                          
Fortaleza,2304400,CE,Ceará               ,Nordeste    ,565.0,517.9,485.6,520.0,Sem problemas                                     
Orobó,2609709,PE,Pernambuco          ,Nordeste    ,,,,,Missing - Sem informação                          
Palmeira das Missões,4313706,RS,Rio Grande do Sul   ,Sul         ,516.0,530.0,484.7,540.0,Sem problemas                                     
Salvador,2927408,BA,Bahia               ,Nordeste    ,,414.2,,0.0,Fuga ao tema                                      
Bebedouro,3506102,SP,São Paulo           ,Sudeste     ,460.3,516.0,421.4,800.0,Sem problemas                                     
Caetité,2905206,BA,Bahia               ,Nordeste    ,350.1,501.7,422.2,560.0,Sem problemas                                     
Teresina,2211001,PI,Piauí               ,Nordeste    ,,,,,Missing - Sem informação                          
Valparaíso de Goiás,5221858,GO,Goiás               ,Centro-Oeste,528.8,547.1,506.4,860.0,Sem problemas                                     
Juara,5105101,MT,Mato Grosso         ,Centro-Oeste,438.0,412.2,462.7,0.0,Cópia Texto Motivador                             
Goiânia,5208707,GO,Goiás               ,Centro-Oeste,447.9,488.0,402.8,640.0,Sem problemas                                     
Brasília,5300108,DF,Distrito Federal    ,Centro-Oeste,588.9,544.1,719.0,540.0,Sem problemas                                     
Caruaru,2604106,PE,Pernambuco          ,Nordeste    ,386.2,515.0,403.9,560.0,Sem problemas                                     
Paratinga,2923704,BA,Bahia               ,Nordeste    ,539.9,544.1,412.4,500.0,Sem problemas                                     
Benevides,1501501,PA,Pará                ,Norte       ,354.2,476.0,396.0,560.0,Sem problemas                                     
Limeira,3526902,SP,São Paulo           ,Sudeste     ,,,,,Missing - Sem informação                          
Carapicuíba,3510609,SP,São Paulo           ,Sudeste     ,,,,,Missing - Sem informação                          
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,718.6,594.7,845.4,700.0,Sem problemas                                     
Petrolândia,2611002,PE,Pernambuco          ,Nordeste    ,475.8,493.3,544.6,520.0,Sem problemas                                     
Jataí,5211909,GO,Goiás               ,Centro-Oeste,510.6,566.1,578.3,720.0,Sem problemas                                     
Paragominas,1505502,PA,Pará                ,Norte       ,408.3,472.1,420.0,520.0,Sem problemas                                     
Aparecida de Goiânia,5201405,GO,Goiás               ,Centro-Oeste,439.4,460.0,428.3,880.0,Sem problemas                                     
Teutônia,4321451,RS,Rio Grande do Sul   ,Sul         ,,,,,Missing - Sem informação                          
Garibaldi,4308607,RS,Rio Grande do Sul   ,Sul         ,543.9,597.6,717.9,780.0,Sem problemas                                     
Belém,1501402,PA,Pará                ,Norte       ,,557.2,,600.0,Sem problemas                                     
Paracambi,3303609,RJ,Rio de Janeiro      ,Sudeste     ,530.0,530.6,536.9,560.0,Sem problemas                                     
Rio de Janeiro,3304557,RJ,Rio de Janeiro      ,Sudeste     ,,,,,Missing - Sem informação                          
Rio de Janeiro,3304557,RJ,Rio de Janeiro      ,Sudeste     ,,,,,Missing - Sem informação                          
Fortaleza,2304400,CE,Ceará               ,Nordeste    ,508.4,470.9,398.3,0.0,Em Branco                                         
Goiana,2606200,PE,Pernambuco          ,Nordeste    ,,,,,Missing - Sem informação                          
Jacareí,3524402,SP,São Paulo           ,Sudeste     ,,,,,Missing - Sem informação                          
Belém,1501402,PA,Pará                ,Norte       ,,,,,Missing - Sem informação                          
Ribeirão Preto,3543402,SP,São Paulo           ,Sudeste     ,,,,,Missing - Sem informação                          
Teófilo Otoni,3168606,MG,Minas Gerais        ,Sudeste     ,,,,,Missing - Sem informação                          
Araucária,4101804,PR,Paraná              ,Sul         ,,,,,Missing - Sem informação                          
Florianópolis,4205407,SC,Santa Catarina      ,Sul         ,397.5,540.8,656.8,860.0,Sem problemas                                     
Angicos,2400802,RN,Rio Grande do Norte ,Nordeste    ,,,,,Missing - Sem informação                          
